,t,loc_slip,loc_traction
0,0.0,0.0,4787688.5
1,9.777979e-09,-1.1862042e-25,4787688.5
2,1.955596e-08,-3.354249e-25,4787688.5
3,2.933394e-08,-4.1265637e-25,4787688.5
4,3.911191e-08,-4.654145e-25,4787688.0
5,4.888989e-08,-7.2863144e-26,4787688.5
6,5.866787e-08,5.492413e-26,4787688.5
7,6.844585e-08,1.13834e-25,4787689.0
8,7.822383e-08,4.5485616e-25,4787688.5
9,8.800181e-08,8.136424e-25,4787687.5
10,9.777979e-08,1.317046e-24,4787688.5
11,1.075578e-07,1.3320439e-24,4787689.5
12,1.173357e-07,6.587988e-25,4787688.5
13,1.271137e-07,4.181765e-25,4787687.0
14,1.368917e-07,2.8214796e-25,4787688.5
15,1.466697e-07,-1.2553179e-25,4787689.0
16,1.564477e-07,2.6088905e-25,4787689.0
17,1.662256e-07,2.821447e-25,4787687.5
18,1.760036e-07,4.356591e-25,4787687.5
19,1.857816e-07,7.261865e-26,4787688.5
20,1.955596e-07,2.336366e-25,4787689.5
21,2.053375e-07,5.9551263e-25,4787688.5
22,2.151155e-07,9.750353e-25,4787686.5
23,2.248935e-07,1.4229244e-24,4787689.0
24,2.346715e-07,1.2834168e-24,4787691.0
25,2.444495e-07,1.6291896e-24,4787688.5
26,2.542274e-07,1.8335462e-24,4787686.0
27,2.640054e-07,1.6295747e-24,4787689.0
28,2.737834e-07,1.672479e-24,4787692.0
29,2.835614e-07,1.6018169e-24,4787688.0
30,2.933394e-07,1.3892928e-24,4787685.0
31,3.031173e-07,1.1444926e-24,4787689.0
32,3.128953e-07,1.707326e-24,4787694.0
33,3.226733e-07,1.4967721e-24,4787698.5
34,3.324513e-07,2.0192242e-24,4787725.5
35,3.422292e-07,1.4211511e-24,4787789.0
36,3.520072e-07,1.4426101e-24,4787884.5
37,3.617852e-07,1.0782043e-24,4788008.0
38,3.715632e-07,1.1187707e-24,4788181.0
39,3.813412e-07,1.3628607e-24,4788416.0
40,3.911191e-07,1.4381835e-24,4788703.0
41,4.008971e-07,1.3816741e-24,4789047.0
42,4.106751e-07,1.2470753e-24,4789472.5
43,4.204531e-07,1.771637e-24,4789984.5
44,4.302311e-07,1.3486122e-24,4790571.0
45,4.40009e-07,1.5284462e-24,4791253.5
46,4.49787e-07,1.4376992e-24,4792071.0
47,4.59565e-07,1.0979515e-24,4792997.5
48,4.69343e-07,1.1239582e-24,4794037.5
49,4.791209e-07,1.6540533e-24,4795241.0
50,4.888989e-07,1.7071735e-24,4796631.5
51,4.986769e-07,1.5267862e-24,4798167.0
52,5.084549e-07,1.7038534e-24,4799905.5
53,5.182329e-07,1.6285999e-24,4801901.0
54,5.280108e-07,1.3497189e-24,4804127.0
55,5.377888e-07,1.3054522e-24,4806417.5
56,5.475668e-07,1.4161192e-24,4808738.0
57,5.573448e-07,1.5223596e-24,4811169.0
58,5.671228e-07,9.291843e-25,4813694.0
59,5.769007e-07,9.668111e-25,4816424.5
60,5.866787e-07,1.4316125e-24,4819434.0
61,5.964567e-07,1.3297989e-24,4822573.5
62,6.062347e-07,1.8742807e-24,4826010.5
63,6.160126e-07,1.8521472e-24,4829901.0
64,6.257906e-07,1.5732663e-24,4833978.0
65,6.355686e-07,2.007081e-24,4838505.5
66,6.453466e-07,2.0469213e-24,4843685.0
67,6.551246e-07,2.0115077e-24,4849164.0
68,6.649025e-07,2.3656424e-24,4855337.0
69,6.746805e-07,2.2416952e-24,4862530.5
70,6.844585e-07,2.1531615e-24,4870248.0
71,6.942365e-07,2.7640436e-24,4879288.0
72,7.040145e-07,2.7109235e-24,4889810.5
73,7.137924e-07,3.1004715e-24,4901351.0
74,7.235704e-07,2.480736e-24,4915787.5
75,7.333484e-07,2.8614306e-24,4931500.0
76,7.431264e-07,2.6666565e-24,4951133.0
77,7.529043e-07,2.772897e-24,4974800.0
78,7.626823e-07,2.8437239e-24,5003227.5
79,7.724603e-07,2.772897e-24,5043373.0
80,7.822383e-07,2.6312432e-24,5100431.0
81,7.920163e-07,1.455838e-11,5175190.0
82,8.017942e-07,1.6787251e-10,5167927.0
83,8.115722e-07,4.228168e-10,5155850.0
84,8.213502e-07,8.44502e-10,5135874.0
85,8.311282e-07,1.5140417e-09,5104156.5
86,8.409062e-07,2.4113926e-09,5061647.5
87,8.506841e-07,3.5611616e-09,5007181.0
88,8.604621e-07,4.9904036e-09,4939475.5
89,8.702401e-07,6.705913e-09,4858209.0
90,8.800181e-07,8.757832e-09,4761006.5
91,8.89796e-07,1.1172763e-08,4646607.0
92,8.99574e-07,1.398177e-08,4513539.5
93,9.09352e-07,1.7242272e-08,4359084.0
94,9.1913e-07,2.0993486e-08,4181383.0
95,9.28908e-07,2.5281492e-08,3978252.8
96,9.386859e-07,3.0177578e-08,3746317.0
97,9.484639e-07,3.5730814e-08,3483251.0
98,9.582419e-07,4.182977e-08,3194333.2
99,9.680199e-07,4.832118e-08,2886824.5
100,9.777979e-07,5.5093196e-08,2566022.8
101,9.875758e-07,6.204031e-08,2236926.5
102,9.973538e-07,6.90229e-08,1906149.4
103,1.007132e-06,7.5610586e-08,1800000.0
104,1.01691e-06,8.1697436e-08,1800000.0
105,1.026688e-06,8.753365e-08,1800000.0
106,1.036466e-06,9.319988e-08,1800000.0
107,1.046244e-06,9.8726495e-08,1800000.0
108,1.056022e-06,1.0412635e-07,1800000.0
109,1.0658e-06,1.0942219e-07,1800000.0
110,1.075578e-06,1.14627184e-07,1800000.0
111,1.085356e-06,1.1973896e-07,1800000.0
112,1.095134e-06,1.2475793e-07,1800000.0
113,1.104912e-06,1.2969805e-07,1800000.0
114,1.11469e-06,1.3455953e-07,1800000.0
115,1.124468e-06,1.3933627e-07,1800000.0
116,1.134246e-06,1.4403732e-07,1800000.0
117,1.144023e-06,1.4867341e-07,1800000.0
118,1.153801e-06,1.5323818e-07,1800000.0
119,1.163579e-06,1.577294e-07,1800000.0
120,1.173357e-06,1.6216475e-07,1800000.0
121,1.183135e-06,1.6654234e-07,1800000.0
122,1.192913e-06,1.7085618e-07,1800000.0
123,1.202691e-06,1.7511628e-07,1800000.0
124,1.212469e-06,1.793303e-07,1800000.0
125,1.222247e-06,1.8349154e-07,1800000.0
126,1.232025e-06,1.8760129e-07,1800000.0
127,1.241803e-06,1.9167106e-07,1800000.0
128,1.251581e-06,1.9569795e-07,1800000.0
129,1.261359e-06,1.9968078e-07,1800000.0
130,1.271137e-06,2.036246e-07,1800000.0
131,1.280915e-06,2.0753413e-07,1800000.0
132,1.290693e-06,2.1140657e-07,1800000.0
133,1.300471e-06,2.1524563e-07,1800000.0
134,1.310249e-06,2.190512e-07,1800000.0
135,1.320027e-06,2.2282595e-07,1800000.0
136,1.329805e-06,2.2657393e-07,1800000.0
137,1.339583e-06,2.3029202e-07,1800000.0
138,1.349361e-06,2.3398017e-07,1800000.0
139,1.359139e-06,2.3764481e-07,1800000.0
140,1.368917e-06,2.412867e-07,1800000.0
141,1.378695e-06,2.449008e-07,1800000.0
142,1.388473e-06,2.484902e-07,1800000.0
143,1.398251e-06,2.5206145e-07,1800000.0
144,1.408029e-06,2.5561116e-07,1800000.0
145,1.417807e-06,2.5913744e-07,1800000.0
146,1.427585e-06,2.6264397e-07,1800000.0
147,1.437363e-06,2.6613426e-07,1800000.0
148,1.447141e-06,2.6960407e-07,1800000.0
149,1.456919e-06,2.730561e-07,1800000.0
150,1.466697e-06,2.7648989e-07,1800000.0
151,1.476475e-06,2.799083e-07,1800000.0
152,1.486253e-06,2.8330928e-07,1800000.0
153,1.496031e-06,2.8669632e-07,1800000.0
154,1.505809e-06,2.9006577e-07,1800000.0
155,1.515587e-06,2.9342135e-07,1800000.0
156,1.525365e-06,2.967641e-07,1800000.0
157,1.535143e-06,3.0009403e-07,1800000.0
158,1.544921e-06,3.03409e-07,1800000.0
159,1.554699e-06,3.0671316e-07,1800000.0
160,1.564477e-06,3.1000815e-07,1800000.0
161,1.574255e-06,3.1329031e-07,1800000.0
162,1.584033e-06,3.1655856e-07,1800000.0
163,1.59381e-06,3.198169e-07,1800000.0
164,1.603588e-06,3.2306534e-07,1800000.0
165,1.613366e-06,3.2630106e-07,1800000.0
166,1.623144e-06,3.2952474e-07,1800000.0
167,1.632922e-06,3.327385e-07,1800000.0
168,1.6427e-06,3.3594048e-07,1800000.0
169,1.652478e-06,3.3913108e-07,1800000.0
170,1.662256e-06,3.4230976e-07,1800000.0
171,1.672034e-06,3.454779e-07,1800000.0
172,1.681812e-06,3.4863376e-07,1800000.0
173,1.69159e-06,3.517852e-07,1800000.0
174,1.701368e-06,3.549309e-07,1800000.0
175,1.711146e-06,3.58069e-07,1800000.0
176,1.720924e-06,3.6119084e-07,1800000.0
177,1.730702e-06,3.6429134e-07,1800000.0
178,1.74048e-06,3.6736535e-07,1800000.0
179,1.750258e-06,3.704043e-07,1800000.0
180,1.760036e-06,3.7340533e-07,1800000.0
181,1.769814e-06,3.763659e-07,1800000.0
182,1.779592e-06,3.792746e-07,1800000.0
183,1.78937e-06,3.82129e-07,1800000.0
184,1.799148e-06,3.8492448e-07,1800000.0
185,1.808926e-06,3.8765324e-07,1800000.0
186,1.818704e-06,3.9031005e-07,1800000.0
187,1.828482e-06,3.9289273e-07,1800000.0
188,1.83826e-06,3.95398e-07,1800000.0
189,1.848038e-06,3.9782182e-07,1800000.0
190,1.857816e-06,4.001754e-07,1800000.0
191,1.867594e-06,4.0246528e-07,1800000.0
192,1.877372e-06,4.0470226e-07,1800000.0
193,1.88715e-06,4.0689036e-07,1800000.0
